Year,Type of Metric,Organization Entity,Command,Category,Amount,ObjectId
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Equipment,1307912.33,1
2018,Actual Expenditures,1 - Toronto Police Service,Special Projects,Salaries,0,2
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Materials & Supplies,15478021.67,3
2018,Actual Expenditures,1 - Toronto Police Service,Special Projects,Services,0,4
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Benefits,25280667.19,5
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Premium Pay,1998732.14,6
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Revenues,-71163091.89,7
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Equipment,1556626.29,8
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Materials & Supplies,1369167.4,9
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Salaries,33289318.73,10
2018,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Services,78193185.66,11
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Premium Pay,14496065.9,12
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Revenues,-51327370.87,13
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Benefits,2175857.58,14
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Salaries,163297474.7,15
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Equipment,113250.65,16
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Materials & Supplies,62650.57,17
2018,Actual Expenditures,1 - Toronto Police Service,Specialized Operations Command,Services,5355689.55,18
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Benefits,0,19
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Premium Pay,556704.78,20
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Revenues,-51674.88,21
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Equipment,2972130.44,22
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Materials & Supplies,25175.32,23
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Salaries,14469029.76,24
2018,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Services,503054.18,25
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Premium Pay,115136.98,26
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Revenues,-6933839.41,27
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Benefits,68942207.73,28
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Equipment,161658.13,29
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Salaries,0,30
2018,Actual Expenditures,1 - Toronto Police Service,TPS Grants,Services,3374646.92,31
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Materials & Supplies,853368.14,32
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Premium Pay,48898473.91,33
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Benefits,135661.56,34
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Equipment,1417.99,35
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Revenues,-13135673.92,36
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Salaries,444525307.1,37
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Materials & Supplies,3340.17,38
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Premium Pay,218.86,39
2018,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Services,1777960.74,40
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Benefits,6019452.82,41
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Revenues,-629755.91,42
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Equipment,129351.02,43
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Salaries,865004.5,44
2018,Actual Expenditures,2 - Toronto Police Services Board,TPS Board,Services,1884260.78,45
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Benefits,6921080.29,46
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Equipment,3009.31,47
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Materials & Supplies,1246010.07,48
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Premium Pay,2490136.74,49
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Revenues,-1085060.59,50
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Salaries,27672527.74,51
2018,Actual Expenditures,3 - Parking Enforcement,Parking Enforcement,Services,5551630.98,52
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Benefits,96464007.94,53
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Equipment,2270082.92,54
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Materials & Supplies,15098553.99,55
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Premium Pay,748289.43,56
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Revenues,-69379500.8,57
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Salaries,35257695.75,58
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Materials & Supplies,305431.75,59
2019,Actual Expenditures,1 - Toronto Police Service,Centralized Service Charges,Services,78805829.27,60
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Premium Pay,1380537.32,61
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Benefits,2139638.85,62
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Equipment,153741.54,63
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Materials & Supplies,78600.77,64
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Premium Pay,514782.38,65
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Revenues,-305364.5,66
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Salaries,14285464.64,67
2019,Actual Expenditures,1 - Toronto Police Service,Chief of Police,Services,1804178.01,68
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Benefits,69823050.28,69
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Equipment,288119.29,70
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Materials & Supplies,1069739.11,71
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Premium Pay,46582629.29,72
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Revenues,-8711679.18,73
2019,Actual Expenditures,1 - Toronto Police Service,Community Safety Command,Salaries,442726183.7,74
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Revenues,-1181018.61,75
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Salaries,40763515.46,76
2018,Actual Expenditures,1 - Toronto Police Service,Corporate Services Command,Services,2698874.93,77
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Benefits,541316.92,78
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Equipment,4008.17,79
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Materials & Supplies,14974.2,80
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Premium Pay,102386.32,81
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Salaries,3632049.43,82
2018,Actual Expenditures,1 - Toronto Police Service,Human Resources Command,Services,135536.54,83
2018,Actual Expenditures,1 - Toronto Police Service,Information&Technology Command,Benefits,5740888.5,84
2018,Actual Expenditures,1 - Toronto Police Service,Information&Technology Command,Equipment,1011709.5,85
2018,Actual Expenditures,1 - Toronto Police Service,Information&Technology Command,Materials & Supplies,793618.5,86
