Fiscal Year,Budget Type,Organization Entity,Command Name,Pillar Name,District Name,Unit Name,Feature_Category,Cost Element,Cost Element Long Name,Amount,ObjectId
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,1-Salaries,1515,Paid duty officers - earnings,24667000,1
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1571,Court premium pay - Uniform,1526200,2
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1573,Callback premium pay - Uniform,1412900,3
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1574,Lieutime premium pay - Uniform,3561100,4
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1578,Callback (Command Initiatives) - Uniform,405600,5
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1582,Overtime premium pay - Civilian,267800,6
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1583,Callback premium pay - Civilian,1006600,7
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1584,Lieutime premium pay - Civilian,1192900,8
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1592,Overtime premium pay - Contract,262700,9
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1593,Callback premium pay - Contract,165200,10
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1594,Lieutime premium pay - Contract,194900,11
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1711,Comprehensive Medical,36193500,12
2024,Proposed Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1712,Dental Plan,14963600,13
